source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
TSPA,Trust & Safety Agent,Whatnot,Trust & Safety,United States,"Phoenix, AZ, US",Specialist,Trust & Safety,,,,2026-06-01,,,,https://jobs.ashbyhq.com/whatnot/750a2337-7017-4ec2-ba81-ae220b9dd0ff,https://jobs.ashbyhq.com/whatnot/750a2337-7017-4ec2-ba81-ae220b9dd0ff,256,
TSPA,"Director, Technology Operations -(Digital Identity) — LMD Trust and Safety",Walmart,Trust & Safety,United States,"Bentonville, AR, US",Director,Trust & Safety,,,,2026-06-01,,,,https://careers.walmart.com/us/en/jobs/R-2488387,https://careers.walmart.com/us/en/jobs/R-2488387,233,
TSPA,"Senior Director, Technology Operations-Fraud and ID Verification, Trust and Safety",Walmart,Trust & Safety,United States,United States,Senior Director,Trust & Safety,,,,2026-06-01,,,,https://careers.walmart.com/us/en/jobs/R-2469962,https://careers.walmart.com/us/en/jobs/R-2469962,245,
TSPA,Director of Trust & Safety Moderation,Vinted,Trust & Safety,Lithuania,Lithuania: Kaunas,Director,Trust & Safety,,,,2026-06-01,,,,https://careers.vinted.com/jobs/j/4873790101,https://careers.vinted.com/jobs/j/4873790101,225,
TSPA,Lead Product Manager – Identity,Uber,Trust & Safety,United States,"San Francisco, CA",Lead,Trust & Safety,,,,2026-06-01,,,,https://www.uber.com/global/en/careers/list/154339/,https://www.uber.com/global/en/careers/list/154339/,251,
TSPA,"Product Marketing Manager: Trust & Safety, Community",Twitch,Trust & Safety,United States,"Seattle, WA, US",Manager,Trust & Safety,,,,2026-06-01,,,,https://job-boards.greenhouse.io/twitch/jobs/8536449002,https://job-boards.greenhouse.io/twitch/jobs/8536449002,248,
TSPA,Senior Director of Fraud & Investigation,Trustpilot,Trust & Safety,Denmark,"Copenhagen, Denmark",Senior Director,Trust & Safety,,,,2026-06-01,,,,https://business.trustpilot.com/jobs/7941771,https://business.trustpilot.com/jobs/7941771,227,
TSPA,Trust & Safety Program Engineer,Tools for Humanity,Trust & Safety,United States,"San Francisco, CA, US",Engineer,Engineering,,,,2026-06-01,,,,https://jobs.ashbyhq.com/Tools%20for%20Humanity/36a5f657-bfef-4186-997e-b15705e404a7,https://jobs.ashbyhq.com/Tools%20for%20Humanity/36a5f657-bfef-4186-997e-b15705e404a7,234,
TSPA,"Platform Trust & Experience, Risk Control Program Manager – USDS",TikTok,Trust & Safety,United States,"San Jose, CA, US",Manager,Trust & Safety,,,,2026-06-01,,,,https://careers.tiktokusds.com/usds/position/7631331345785424181/detail,https://careers.tiktokusds.com/usds/position/7631331345785424181/detail,262,
TSPA,Compliance Management Specialist – Governance Risk and Compliance,TikTok,Trust & Safety,United States,"Washington, DC, US",Specialist,Legal,,,,2026-06-01,,,,https://lifeattiktok.com/search/7616388398144850229,https://lifeattiktok.com/search/7616388398144850229,263,
TSPA,"Technical AI Policy Researcher, Model Behaviour – Trust and Safety",TikTok,Trust & Safety,United States,"San Francisco, CA, US",Analyst,Policy,,,,2026-06-01,,,,https://lifeattiktok.com/search/7642509022655301941,https://lifeattiktok.com/search/7642509022655301941,264,
TSPA,Safety Model Operations Team Lead – Kuala Lumpur,TikTok,Trust & Safety,Malaysia,"Kuala Lumpur, Malaysia",Lead,Operations,,,,2026-06-01,,,,https://lifeattiktok.com/search/7538448465429842184,https://lifeattiktok.com/search/7538448465429842184,276,
TSPA,"Solutions Architect, Trust & Safety | TP.ai",Teleperformance,Trust & Safety,India,Remote,Senior Engineer,Trust & Safety,,,,2026-06-01,,,,https://teleperformance.thriveapp.ly/job/466,https://teleperformance.thriveapp.ly/job/466,269,
TSPA,Product Management (S&R&A&C – Regional Trust & Safety) – Sea Labs,Shopee,Trust & Safety,Indonesia,"Jakarta, Indonesia",Specialist,Trust & Safety,,,,2026-06-01,,,,https://careers.shopee.sg/job-detail/J02076660/1?channel=10001,https://careers.shopee.sg/job-detail/J02076660/1?channel=10001,272,
TSPA,"Product Manager, Trust & Safety",Scale AI,Trust & Safety,United States,"New York, NY",Manager,Trust & Safety,,,,2026-06-01,,,,https://job-boards.greenhouse.io/scaleai/jobs/4692308005,https://job-boards.greenhouse.io/scaleai/jobs/4692308005,242,
TSPA,Principal Data Scientist – Safety,Roblox,Trust & Safety,United States,"San Mateo, CA, US",Principal,Data,,,,2026-06-01,,,,https://careers.roblox.com/jobs/7411636,https://careers.roblox.com/jobs/7411636,222,
TSPA,"Law Enforcement Liaison, Nevada",Roblox,Trust & Safety,United States,United States,Specialist,Trust & Safety,,,,2026-06-01,,,,https://careers.roblox.com/jobs/7947913,https://careers.roblox.com/jobs/7947913,237,
TSPA,Trust and Safety Specialist,Reverb,Trust & Safety,United States,"Chicago, IL, US",Specialist,Trust & Safety,,,,2026-06-01,,,,https://ats.rippling.com/reverb-careers/jobs/c3eecb38-51d4-4d7a-ad41-67daa726bf78,https://ats.rippling.com/reverb-careers/jobs/c3eecb38-51d4-4d7a-ad41-67daa726bf78,250,
TSPA,Trust & Safety Specialist,Replit,Trust & Safety,United States,"Foster City, CA, US",Specialist,Trust & Safety,,,,2026-06-01,,,,https://jobs.ashbyhq.com/replit/abf988c6-777e-49f4-bbd0-88c1bb815b7a,https://jobs.ashbyhq.com/replit/abf988c6-777e-49f4-bbd0-88c1bb815b7a,247,
TSPA,"AI Platform Product Manager, Trust & Safety",Rednote,Trust & Safety,Singapore,Singapore,Manager,Trust & Safety,,,,2026-06-01,,,,https://www.linkedin.com/jobs/view/4419134702/,https://www.linkedin.com/jobs/view/4419134702/,274,
TSPA,User Trust & Transparency Product Manager,Rednote,Trust & Safety,Singapore,Singapore,Manager,Trust & Safety,,,,2026-06-01,,,,https://www.linkedin.com/jobs/view/4419145497/,https://www.linkedin.com/jobs/view/4419145497/,275,
TSPA,"Product Manager II, Trust & Safety Tools",Pinterest,Trust & Safety,United States,"San Francisco, CA",Manager,Trust & Safety,,,,2026-06-01,,,,https://www.pinterestcareers.com/jobs/7901910/product-manager-ii-trust-safety-tools/,https://www.pinterestcareers.com/jobs/7901910/product-manager-ii-trust-safety-tools/,260,
TSPA,Trust and Safety Lead,OpenRouter,Trust & Safety,United States,Remote,Lead,Trust & Safety,,,,2026-06-01,,,,https://jobs.ashbyhq.com/openrouter/004b0cab-3c00-4764-b42d-44cfa538e4cc,https://jobs.ashbyhq.com/openrouter/004b0cab-3c00-4764-b42d-44cfa538e4cc,261,
TSPA,Trust & Safety Operations Analyst,OpenAI,Trust & Safety,United States,"San Francisco, CA, US",Analyst,Trust & Safety,,,,2026-06-01,,,,https://jobs.ashbyhq.com/openai/eb54b316-26fb-498f-a68c-9990ff9c402c,https://jobs.ashbyhq.com/openai/eb54b316-26fb-498f-a68c-9990ff9c402c,249,
TSPA,Global Safety Response Operations Analyst,OpenAI,Trust & Safety,United States,"San Francisco, CA, US",Analyst,Operations,,,,2026-06-01,,,,https://jobs.ashbyhq.com/openai/9e77e103-6b70-4b45-a344-d87c4a2d7e12,https://jobs.ashbyhq.com/openai/9e77e103-6b70-4b45-a344-d87c4a2d7e12,258,
TSPA,Technical Abuse Investigator,OpenAI,Trust & Safety,United States,"San Francisco, CA",Analyst,Trust & Safety,,,,2026-06-01,,,,https://jobs.ashbyhq.com/openai/31f19fa3-d8c1-4db2-b336-ab046f9cde41,https://jobs.ashbyhq.com/openai/31f19fa3-d8c1-4db2-b336-ab046f9cde41,259,
TSPA,Senior Trust & Safety Policy Manager,Linktree,Trust & Safety,United States,"San Francisco, CA",Senior Manager,Policy,,,,2026-06-01,,,,https://jobs.gem.com/linktree/am9icG9zdDrLbsBzyTEq8KGSLwsU91FQ,https://jobs.gem.com/linktree/am9icG9zdDrLbsBzyTEq8KGSLwsU91FQ,223,
TSPA,"AI Red Teamer, LLM Generalist",Handshake,Trust & Safety,United States,"Seattle, WA, US",Specialist,Trust & Safety,,,,2026-06-01,,,,https://joinhandshake.com/careers/job/?ashby_jid=1e3a9711-d13c-4b79-8599-34dfb3133621,https://joinhandshake.com/careers/job/?ashby_jid=1e3a9711-d13c-4b79-8599-34dfb3133621,255,
TSPA,"Engineering Analyst, Trust and Safety",Google,Trust & Safety,Ireland,"Dublin, Ireland",Engineer,Engineering,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/114149933497361094-engineering-analyst/,"https://www.google.com/about/careers/applications/jobs/results/114149933497361094-engineering-analyst/, https://www.google.com/about/careers/applications/jobs/results/138701299074900678-engineering-analyst/",226,
TSPA,"Enforcement Detection Analyst, YouTube, Trust and Safety",Google,Trust & Safety,United States,"San Bruno, CA, US",Analyst,Trust & Safety,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/128528660444390086-enforcement-detection-analyst/,https://www.google.com/about/careers/applications/jobs/results/128528660444390086-enforcement-detection-analyst/,229,
TSPA,"Associate Principal Analyst, Content Adversarial Red Team",Google,Trust & Safety,United States,"Seattle, WA",Principal,Content Moderation,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/98946322647655110-associate-principal-analyst/,https://www.google.com/about/careers/applications/jobs/results/98946322647655110-associate-principal-analyst/,243,
TSPA,"Program Manager, AI/ML, Trust and Safety",Google,Trust & Safety,United States,"Kirkland, WA",Manager,Trust & Safety,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/112121478425518790-program-manager/,https://www.google.com/about/careers/applications/jobs/results/112121478425518790-program-manager/,252,
TSPA,"Policy Specialist, Trust and Safety",Google,Trust & Safety,India,"Hyderabad, Telangana, India",Specialist,Policy,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/144039196099519174-policy-specialist/,https://www.google.com/about/careers/applications/jobs/results/144039196099519174-policy-specialist/,267,
TSPA,"Operations Support Lead, Trust and Safety Compute",Google,Trust & Safety,India,"Hyderabad, Telangana, India",Lead,Trust & Safety,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/131646238691861190-operations-support-lead/,https://www.google.com/about/careers/applications/jobs/results/131646238691861190-operations-support-lead/,268,
TSPA,"Trust and Safety Analyst, User Feedback",Google,Trust & Safety,India,"Hyderabad, Telangana, India",Analyst,Trust & Safety,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/83435439100175046-trust-and-safety-analyst/,https://www.google.com/about/careers/applications/jobs/results/83435439100175046-trust-and-safety-analyst/,271,
TSPA,Investigation and Incident Program Manager,Google,Trust & Safety,Singapore,Singapore,Manager,Trust & Safety,,,,2026-06-01,,,,https://www.google.com/about/careers/applications/jobs/results/142691200212574918-investigation-and-incident-program-manager/,https://www.google.com/about/careers/applications/jobs/results/142691200212574918-investigation-and-incident-program-manager/,273,
TSPA,"Senior Software Engineering Manager – Geolocation, Compliance & Trust",Fanatics,Trust & Safety,United States,"New York, NY, US",Manager,Legal,,,,2026-06-01,,,,https://job-boards.greenhouse.io/fanaticsfbg/jobs/4255054009,https://job-boards.greenhouse.io/fanaticsfbg/jobs/4255054009,230,
TSPA,Trust & Safety Strategy Lead,Faire,Trust & Safety,United States,"San Francisco, CA, US",Lead,Trust & Safety,,,,2026-06-01,,,,https://job-boards.greenhouse.io/faire/jobs/8497527002,https://job-boards.greenhouse.io/faire/jobs/8497527002,257,
TSPA,"Investigator II, Gen Inv, FIU",eBay,Trust & Safety,United States,"Salt Lake City, UT, US",Analyst,Trust & Safety,,,,2026-06-01,,,,https://jobs.ebayinc.com/us/en/job/EBAEBAUSR0074300EXTERNALENUS/Investigator-II-Gen-Inv-FIU,https://jobs.ebayinc.com/us/en/job/EBAEBAUSR0074300EXTERNALENUS/Investigator-II-Gen-Inv-FIU,235,
TSPA,"Senior Product Design Manager, Integrity",DoorDash,Trust & Safety,United States,"San Francisco, CA",Senior Manager,Trust & Safety,,,,2026-06-01,,,,https://job-boards.greenhouse.io/doordashusa/jobs/7863636,https://job-boards.greenhouse.io/doordashusa/jobs/7863636,240,
TSPA,"Sr. Director, Security Governance, Risk and Compliance",Docusign,Trust & Safety,United States,"San Francisco, CA",Senior Director,Legal,,,,2026-06-01,,,,https://careers.docusign.com/careers-home/jobs/29484,https://careers.docusign.com/careers-home/jobs/29484,231,
TSPA,Privacy Response Analyst II (Temporary),Discord,Trust & Safety,United States,Remote,Analyst,Legal,,,,2026-06-01,,,,https://job-boards.greenhouse.io/discord/jobs/8519610002,https://job-boards.greenhouse.io/discord/jobs/8519610002,246,
TSPA,Sr. Engineer- Product Abuse (Remote),CrowdStrike,Trust & Safety,United States,Remote,Senior,Engineering,,,,2026-06-01,,,,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers/job/USA---Remote/Sr-Engineer--Product-Abuse--Remote-_R28922,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers/job/USA---Remote/Sr-Engineer--Product-Abuse--Remote-_R28922,232,
TSPA,Trust and Safety CSAM Generalist (English),Concentrix,Trust & Safety,Malaysia,"Cyberjaya, Malaysia",Specialist,Trust & Safety,,,,2026-06-01,,,,https://concentrix-malaysia.talkpush.com/site/campaigns/Z2lkOi8vYXN0cmFldXMvQ2FtcGFpZ246OlJlY29yZC8xMDc5,https://concentrix-malaysia.talkpush.com/site/campaigns/Z2lkOi8vYXN0cmFldXMvQ2FtcGFpZ246OlJlY29yZC8xMDc5,265,
TSPA,Trust and Safety CSAM Specialist (English),Concentrix,Trust & Safety,Malaysia,"Cyberjaya, Malaysia",Specialist,Trust & Safety,,,,2026-06-01,,,,https://concentrix-malaysia.talkpush.com/site/campaigns/Z2lkOi8vYXN0cmFldXMvQ2FtcGFpZ246OlJlY29yZC8xMDgw,https://concentrix-malaysia.talkpush.com/site/campaigns/Z2lkOi8vYXN0cmFldXMvQ2FtcGFpZ246OlJlY29yZC8xMDgw,266,
TSPA,Executive Director – Youth AI Safety Institute,Common Sense Media,Trust & Safety,United States,"San Francisco, CA",Director,Trust & Safety,,,,2026-06-01,,,,https://www.paycomonline.net/v4/ats/web.php/portal/4AA7E7402507528EEEA6308617BB1F08/jobs/158246,https://www.paycomonline.net/v4/ats/web.php/portal/4AA7E7402507528EEEA6308617BB1F08/jobs/158246,224,
TSPA,"Product Manager, Trust & Safety",Chime,Trust & Safety,United States,"San Francisco, CA, US",Manager,Trust & Safety,,,,2026-06-01,,,,https://job-boards.greenhouse.io/chime/jobs/8530184002,https://job-boards.greenhouse.io/chime/jobs/8530184002,253,
TSPA,"Software Engineer, Safety",Character.AI,Trust & Safety,United States,"Redwood City, CA, US",Engineer,Engineering,,,,2026-06-01,,,,https://jobs.ashbyhq.com/character/65e263f7-5edf-4832-b134-c194f19ea848,https://jobs.ashbyhq.com/character/65e263f7-5edf-4832-b134-c194f19ea848,228,
